treatdsvar3	q3dm1wgt	q3dm2wgt	q3dm3wgt	q3dm4wgt	q3dm5wgt	q3rightloc1p1	q3rightloc1p2	q3rightloc1p3	q3rightloc1p4	q3rightloc1p5
1	0.23	0.21	0.2	0.19	0.17	9.97	10.0	16	19.97	19.97
2	0.23	0.21	0.2	0.17	0.19	10.11	10.11	16	20.11	20.11
3	0.23	0.21	0.19	0.2	0.17	10.02	10.02	16	20.02	20.02
4	0.23	0.21	0.19	0.17	0.2	10.23	10.23	16	20.23	20.23
5	0.23	0.21	0.17	0.2	0.19	10.26	10.26	16	20.26	20.26
6	0.23	0.21	0.17	0.19	0.2	10.33	10.33	16	20.33	20.33
7	0.23	0.2	0.21	0.19	0.17	10.03	10.03	16	20.03	20.03
8	0.23	0.2	0.21	0.17	0.19	10.17	10.17	16	20.17	20.17
9	0.23	0.2	0.19	0.21	0.17	10.13	10.13	16	20.13	20.13
10	0.23	0.2	0.19	0.17	0.21	10.41	10.41	16	20.41	20.41
11	0.23	0.2	0.17	0.21	0.19	10.37	10.37	16	20.37	20.37
12	0.23	0.2	0.17	0.19	0.21	10.51	10.51	16	20.51	20.51
13	0.23	0.19	0.21	0.2	0.17	10.14	10.14	16	20.14	20.14
14	0.23	0.19	0.21	0.17	0.2	10.35	10.35	16	20.35	20.35
15	0.23	0.19	0.2	0.21	0.17	10.19	10.19	16	20.19	20.19
16	0.23	0.19	0.2	0.17	0.21	10.47	10.47	16	20.47	20.47
17	0.23	0.19	0.17	0.21	0.2	10.55	10.55	16	20.55	20.55
18	0.23	0.19	0.17	0.2	0.21	10.62	10.62	16	20.62	20.62
19	0.23	0.17	0.21	0.2	0.19	10.5	10.5	16	20.5	20.5
20	0.23	0.17	0.21	0.19	0.2	10.57	10.57	16	20.57	20.57
21	0.23	0.17	0.2	0.21	0.19	10.55	10.55	16	20.55	20.55
22	0.23	0.17	0.2	0.19	0.21	10.69	10.69	16	20.69	20.69
23	0.23	0.17	0.19	0.21	0.2	10.67	10.67	16	20.67	20.67
24	0.23	0.17	0.19	0.2	0.21	10.74	10.74	16	20.74	20.74
25	0.21	0.23	0.2	0.19	0.17	10.09	10.09	16	20.09	20.09
26	0.21	0.23	0.2	0.17	0.19	10.23	10.23	16	20.23	20.23
27	0.21	0.23	0.19	0.2	0.17	10.14	10.14	16	20.14	20.14
28	0.21	0.23	0.19	0.17	0.2	10.35	10.35	16	20.35	20.35
29	0.21	0.23	0.17	0.2	0.19	10.38	10.38	16	20.38	20.38
30	0.21	0.23	0.17	0.19	0.2	10.45	10.45	16	20.45	20.45
31	0.21	0.2	0.23	0.19	0.17	10.27	10.27	16	20.27	20.27
32	0.21	0.2	0.23	0.17	0.19	10.41	10.41	16	20.41	20.41
33	0.21	0.2	0.19	0.23	0.17	10.47	10.47	16	20.47	20.47
34	0.21	0.2	0.19	0.17	0.23	10.89	10.89	16	20.89	20.89
35	0.21	0.2	0.17	0.23	0.19	10.71	10.71	16	20.71	20.71
36	0.21	0.2	0.17	0.19	0.23	10.99	10.99	16	20.99	20.99
37	0.21	0.19	0.23	0.2	0.17	10.38	10.38	16	20.38	20.38
38	0.21	0.19	0.23	0.17	0.2	10.59	10.59	16	20.59	20.59
39	0.21	0.19	0.2	0.23	0.17	10.53	10.53	16	20.53	20.53
40	0.21	0.19	0.2	0.17	0.23	10.95	10.95	16	20.95	20.95
41	0.21	0.19	0.17	0.23	0.2	10.89	10.89	16	20.89	20.89
42	0.21	0.19	0.17	0.2	0.23	11.1	11.1	16	21.0	21.1
43	0.21	0.17	0.23	0.2	0.19	10.74	10.74	16	20.74	20.74
44	0.21	0.17	0.23	0.19	0.2	10.81	10.81	16	20.81	20.81
45	0.21	0.17	0.2	0.23	0.19	10.89	10.89	16	20.89	20.89
46	0.21	0.17	0.2	0.19	0.23	11.17	11.17	16	21.0	21.17
47	0.21	0.17	0.19	0.23	0.2	11.01	11.01	16	21.0	21.01
48	0.21	0.17	0.19	0.2	0.23	11.22	11.22	16	21.0	21.22
49	0.2	0.23	0.21	0.19	0.17	10.21	10.21	16	20.21	20.21
50	0.2	0.23	0.21	0.17	0.19	10.35	10.35	16	20.35	20.35
51	0.2	0.23	0.19	0.21	0.17	10.31	10.31	16	20.31	20.31
52	0.2	0.23	0.19	0.17	0.21	10.59	10.59	16	20.59	20.59
53	0.2	0.23	0.17	0.21	0.19	10.55	10.55	16	20.55	20.55
54	0.2	0.23	0.17	0.19	0.21	10.69	10.69	16	20.69	20.69
55	0.2	0.21	0.23	0.19	0.17	10.33	10.33	16	20.33	20.33
56	0.2	0.21	0.23	0.17	0.19	10.47	10.47	16	20.47	20.47
57	0.2	0.21	0.19	0.23	0.17	10.53	10.53	16	20.53	20.53
58	0.2	0.21	0.19	0.17	0.23	10.95	10.95	16	20.95	20.95
59	0.2	0.21	0.17	0.23	0.19	10.77	10.77	16	20.77	20.77
60	0.2	0.21	0.17	0.19	0.23	11.05	11.05	16	21.0	21.05
61	0.2	0.19	0.23	0.21	0.17	10.55	10.55	16	20.55	20.55
62	0.2	0.19	0.23	0.17	0.21	10.83	10.83	16	20.83	20.83
63	0.2	0.19	0.21	0.23	0.17	10.65	10.65	16	20.65	20.65
64	0.2	0.19	0.21	0.17	0.23	11.07	11.07	16	21.0	21.07
65	0.2	0.19	0.17	0.23	0.21	11.13	11.13	16	21.0	21.13
66	0.2	0.19	0.17	0.21	0.23	11.27	11.27	16	21.0	21.27
67	0.2	0.17	0.23	0.21	0.19	10.91	10.91	16	20.91	20.91
68	0.2	0.17	0.23	0.19	0.21	11.05	11.05	16	21.0	21.05
69	0.2	0.17	0.21	0.23	0.19	11.01	11.01	16	21.0	21.01
70	0.2	0.17	0.21	0.19	0.23	11.29	11.29	16	21.0	21.29
71	0.2	0.17	0.19	0.23	0.21	11.25	11.25	16	21.0	21.25
72	0.2	0.17	0.19	0.21	0.23	11.39	11.39	16	21.0	21.39
73	0.19	0.23	0.21	0.2	0.17	10.38	10.38	16	20.38	20.38
74	0.19	0.23	0.21	0.17	0.2	10.59	10.59	16	20.59	20.59
75	0.19	0.23	0.2	0.21	0.17	10.43	10.43	16	20.43	20.43
76	0.19	0.23	0.2	0.17	0.21	10.71	10.71	16	20.71	20.71
77	0.19	0.23	0.17	0.21	0.2	10.79	10.79	16	20.79	20.79
78	0.19	0.23	0.17	0.2	0.21	10.86	10.86	16	20.86	20.86
79	0.19	0.21	0.23	0.2	0.17	10.5	10.5	16	20.5	20.5
80	0.19	0.21	0.23	0.17	0.2	10.71	10.71	16	20.71	20.71
81	0.19	0.21	0.2	0.23	0.17	10.65	10.65	16	20.65	20.65
82	0.19	0.21	0.2	0.17	0.23	11.07	11.07	16	21.0	21.07
83	0.19	0.21	0.17	0.23	0.2	11.01	11.01	16	21.0	21.01
84	0.19	0.21	0.17	0.2	0.23	11.22	11.22	16	21.0	21.22
85	0.19	0.2	0.23	0.21	0.17	10.61	10.61	16	20.61	20.61
86	0.19	0.2	0.23	0.17	0.21	10.89	10.89	16	20.89	20.89
87	0.19	0.2	0.21	0.23	0.17	10.71	10.71	16	20.71	20.71
88	0.19	0.2	0.21	0.17	0.23	11.13	11.13	16	21.0	21.13
89	0.19	0.2	0.17	0.23	0.21	11.19	11.19	16	21.0	21.19
90	0.19	0.2	0.17	0.21	0.23	11.33	11.33	16	21.0	21.33
91	0.19	0.17	0.23	0.21	0.2	11.15	11.15	16	21.0	21.15
92	0.19	0.17	0.23	0.2	0.21	11.22	11.22	16	21.0	21.22
93	0.19	0.17	0.21	0.23	0.2	11.25	11.25	16	21.0	21.25
94	0.19	0.17	0.21	0.2	0.23	11.46	11.46	16	21.0	21.46
95	0.19	0.17	0.2	0.23	0.21	11.37	11.37	16	21.0	21.37
96	0.19	0.17	0.2	0.21	0.23	11.51	11.51	16	21.0	21.51
97	0.17	0.23	0.21	0.2	0.19	10.86	10.86	16	20.86	20.86
98	0.17	0.23	0.21	0.19	0.2	10.93	10.93	16	20.93	20.93
99	0.17	0.23	0.2	0.21	0.19	10.91	10.91	16	20.91	20.91
100	0.17	0.23	0.2	0.19	0.21	11.05	11.05	16	21.0	21.05
101	0.17	0.23	0.19	0.21	0.2	11.03	11.03	16	21.0	21.03
