treatdsvar3	q3dm1wgt	q3dm2wgt	q3dm3wgt	q3dm4wgt	q3dm5wgt	q3rightloc1p1	q3rightloc1p2	q3rightloc1p3	q3rightloc1p4	q3rightloc1p5
102	0.17	0.23	0.19	0.2	0.21	11.1	11.1	16	21.0	21.1
103	0.17	0.21	0.23	0.2	0.19	10.98	10.98	16	20.98	20.98
104	0.17	0.21	0.23	0.19	0.2	11.05	11.05	16	21.0	21.05
105	0.17	0.21	0.2	0.23	0.19	11.13	11.13	16	21.0	21.13
106	0.17	0.21	0.2	0.19	0.23	11.41	11.41	16	21.0	21.41
107	0.17	0.21	0.19	0.23	0.2	11.25	11.25	16	21.0	21.25
108	0.17	0.21	0.19	0.2	0.23	11.46	11.46	16	21.0	21.46
109	0.17	0.2	0.23	0.21	0.19	11.09	11.09	16	21.0	21.09
110	0.17	0.2	0.23	0.19	0.21	11.23	11.23	16	21.0	21.23
111	0.17	0.2	0.21	0.23	0.19	11.19	11.19	16	21.0	21.19
112	0.17	0.2	0.21	0.19	0.23	11.47	11.47	16	21.0	21.47
113	0.17	0.2	0.19	0.23	0.21	11.43	11.43	16	21.0	21.43
114	0.17	0.2	0.19	0.21	0.23	11.57	11.57	16	21.0	21.57
115	0.17	0.19	0.23	0.21	0.2	11.27	11.27	16	21.0	21.27
116	0.17	0.19	0.23	0.2	0.21	11.34	11.34	16	21.0	21.34
117	0.17	0.19	0.21	0.23	0.2	11.37	11.37	16	21.0	21.37
118	0.17	0.19	0.21	0.2	0.23	11.58	11.58	16	21.0	21.58
119	0.17	0.19	0.2	0.23	0.21	11.49	11.49	16	21.0	21.49
120	0.17	0.19	0.2	0.21	0.23	11.63	11.63	16	21.0	21.63
