high1	low1	mean1	high2	low2	mean2	dist	prop	dm
0.45187578	0.01601276	0.14231317	0.01986375	2.1151043E-4	0.0039217705	1.0	2.0	1.0
0.012894385	9.555837E-5	7.4107054E-4	0.39387578	0.0037648869	0.08318588	1.0	2.0	2.0
0.011363334	6.5012384E-5	4.110157E-4	0.0053462214	4.683141E-5	0.0010504099	1.0	2.0	3.0
0.025760384	0.0011728784	0.0073472587	0.041142944	5.0386274E-4	0.008390296	1.0	2.0	4.0
0.9806408	0.52505285	0.8491875	0.99493974	0.5864579	0.9034516	1.0	2.0	5.0
