treatdsvar1	q1dm1wgt	q1dm2wgt	q1dm3wgt	q1dm4wgt	q1dm5wgt	q1rightloc1p1	q1rightloc1p2	q1rightloc1p3	q1rightloc1p4	q1rightloc1p5
50	0.1	0.53	0.29	0.02	0.06	10	10	10	10	10
51	0.1	0.53	0.06	0.29	0.02	10	10	10	10	10
52	0.1	0.53	0.06	0.02	0.29	10	10	10	10	10
53	0.1	0.53	0.02	0.29	0.06	10	10	10	10	10
54	0.1	0.53	0.02	0.06	0.29	10	10	10	10	10
55	0.1	0.29	0.53	0.06	0.02	16	16	16	16	16
56	0.1	0.29	0.53	0.02	0.06	16	16	16	16	16
57	0.1	0.29	0.06	0.53	0.02	21	21	21	21	21
58	0.1	0.29	0.06	0.02	0.53	28	28	28	28	28
59	0.1	0.29	0.02	0.53	0.06	21	21	21	21	21
60	0.1	0.29	0.02	0.06	0.53	28	28	28	28	28
61	0.1	0.06	0.53	0.29	0.02	16	16	16	16	16
62	0.1	0.06	0.53	0.02	0.29	16	16	16	16	16
63	0.1	0.06	0.29	0.53	0.02	21	21	21	21	21
64	0.1	0.06	0.29	0.02	0.53	28	28	28	28	28
65	0.1	0.06	0.02	0.53	0.29	21	21	21	21	21
66	0.1	0.06	0.02	0.29	0.53	28	28	28	28	28
67	0.1	0.02	0.53	0.29	0.06	16	16	16	16	16
68	0.1	0.02	0.53	0.06	0.29	16	16	16	16	16
69	0.1	0.02	0.29	0.53	0.06	21	21	21	21	21
70	0.1	0.02	0.29	0.06	0.53	28	28	28	28	28
71	0.1	0.02	0.06	0.53	0.29	21	21	21	21	21
72	0.1	0.02	0.06	0.29	0.53	28	28	28	28	28
73	0.06	0.53	0.29	0.1	0.02	10	10	10	10	10
74	0.06	0.53	0.29	0.02	0.1	10	10	10	10	10
75	0.06	0.53	0.1	0.29	0.02	10	10	10	10	10
76	0.06	0.53	0.1	0.02	0.29	10	10	10	10	10
77	0.06	0.53	0.02	0.29	0.1	10	10	10	10	10
78	0.06	0.53	0.02	0.1	0.29	10	10	10	10	10
79	0.06	0.29	0.53	0.1	0.02	16	16	16	16	16
80	0.06	0.29	0.53	0.02	0.1	16	16	16	16	16
81	0.06	0.29	0.1	0.53	0.02	21	21	21	21	21
82	0.06	0.29	0.1	0.02	0.53	28	28	28	28	28
83	0.06	0.29	0.02	0.53	0.1	21	21	21	21	21
84	0.06	0.29	0.02	0.1	0.53	28	28	28	28	28
85	0.06	0.1	0.53	0.29	0.02	16	16	16	16	16
86	0.06	0.1	0.53	0.02	0.29	16	16	16	16	16
87	0.06	0.1	0.29	0.53	0.02	21	21	21	21	21
88	0.06	0.1	0.29	0.02	0.53	28	28	28	28	28
89	0.06	0.1	0.02	0.53	0.29	21	21	21	21	21
90	0.06	0.1	0.02	0.29	0.53	28	28	28	28	28
91	0.06	0.02	0.53	0.29	0.1	16	16	16	16	16
92	0.06	0.02	0.53	0.1	0.29	16	16	16	16	16
93	0.06	0.02	0.29	0.53	0.1	21	21	21	21	21
94	0.06	0.02	0.29	0.1	0.53	28	28	28	28	28
95	0.06	0.02	0.1	0.53	0.29	21	21	21	21	21
96	0.06	0.02	0.1	0.29	0.53	28	28	28	28	28
97	0.02	0.53	0.29	0.1	0.06	10	10	10	10	10
98	0.02	0.53	0.29	0.06	0.1	10	10	10	10	10
99	0.02	0.53	0.1	0.29	0.06	10	10	10	10	10
100	0.02	0.53	0.1	0.06	0.29	10	10	10	10	10
101	0.02	0.53	0.06	0.29	0.1	10	10	10	10	10
102	0.02	0.53	0.06	0.1	0.29	10	10	10	10	10
103	0.02	0.29	0.53	0.1	0.06	16	16	16	16	16
104	0.02	0.29	0.53	0.06	0.1	16	16	16	16	16
105	0.02	0.29	0.1	0.53	0.06	21	21	21	21	21
106	0.02	0.29	0.1	0.06	0.53	28	28	28	28	28
107	0.02	0.29	0.06	0.53	0.1	21	21	21	21	21
108	0.02	0.29	0.06	0.1	0.53	28	28	28	28	28
109	0.02	0.1	0.53	0.29	0.06	16	16	16	16	16
110	0.02	0.1	0.53	0.06	0.29	16	16	16	16	16
111	0.02	0.1	0.29	0.53	0.06	21	21	21	21	21
112	0.02	0.1	0.29	0.06	0.53	28	28	28	28	28
113	0.02	0.1	0.06	0.53	0.29	21	21	21	21	21
114	0.02	0.1	0.06	0.29	0.53	28	28	28	28	28
115	0.02	0.06	0.53	0.29	0.1	16	16	16	16	16
116	0.02	0.06	0.53	0.1	0.29	16	16	16	16	16
117	0.02	0.06	0.29	0.53	0.1	21	21	21	21	21
118	0.02	0.06	0.29	0.1	0.53	28	28	28	28	28
119	0.02	0.06	0.1	0.53	0.29	21	21	21	21	21
120	0.02	0.06	0.1	0.29	0.53	28	28	28	28	28
