treatdsvar1	q1dm1wgt	q1dm2wgt	q1dm3wgt	q1dm4wgt	q1dm5wgt	q1rightloc1p1	q1rightloc1p2	q1rightloc1p3	q1rightloc1p4	q1rightloc1p5
1	0.53	0.29	0.1	0.06	0.02	4	4	4	4	4
2	0.53	0.29	0.1	0.02	0.06	4	4	4	4	4
3	0.53	0.29	0.06	0.1	0.02	4	4	4	4	4
4	0.53	0.29	0.06	0.02	0.1	4	4	4	4	4
5	0.53	0.29	0.02	0.1	0.06	4	4	4	4	4
6	0.53	0.29	0.02	0.06	0.1	4	4	4	4	4
7	0.53	0.1	0.29	0.06	0.02	4	4	4	4	4
8	0.53	0.1	0.29	0.02	0.06	4	4	4	4	4
9	0.53	0.1	0.06	0.29	0.02	4	4	4	4	4
10	0.53	0.1	0.06	0.02	0.29	4	4	4	4	4
11	0.53	0.1	0.02	0.29	0.06	4	4	4	4	4
12	0.53	0.1	0.02	0.06	0.29	4	4	4	4	4
13	0.53	0.06	0.29	0.1	0.02	4	4	4	4	4
14	0.53	0.06	0.29	0.02	0.1	4	4	4	4	4
15	0.53	0.06	0.1	0.29	0.02	4	4	4	4	4
16	0.53	0.06	0.1	0.02	0.29	4	4	4	4	4
17	0.53	0.06	0.02	0.29	0.1	4	4	4	4	4
18	0.53	0.06	0.02	0.1	0.29	4	4	4	4	4
19	0.53	0.02	0.29	0.1	0.06	4	4	4	4	4
20	0.53	0.02	0.29	0.06	0.1	4	4	4	4	4
21	0.53	0.02	0.1	0.29	0.06	4	4	4	4	4
22	0.53	0.02	0.1	0.06	0.29	4	4	4	4	4
23	0.53	0.02	0.06	0.29	0.1	4	4	4	4	4
24	0.53	0.02	0.06	0.1	0.29	4	4	4	4	4
25	0.29	0.53	0.1	0.06	0.02	10	10	10	10	10
26	0.29	0.53	0.1	0.02	0.06	10	10	10	10	10
27	0.29	0.53	0.06	0.1	0.02	10	10	10	10	10
28	0.29	0.53	0.06	0.02	0.1	10	10	10	10	10
29	0.29	0.53	0.02	0.1	0.06	10	10	10	10	10
30	0.29	0.53	0.02	0.06	0.1	10	10	10	10	10
31	0.29	0.1	0.53	0.06	0.02	16	16	16	16	16
32	0.29	0.1	0.53	0.02	0.06	16	16	16	16	16
33	0.29	0.1	0.06	0.53	0.02	21	21	21	21	21
34	0.29	0.1	0.06	0.02	0.53	28	28	28	28	28
35	0.29	0.1	0.02	0.53	0.06	21	21	21	21	21
36	0.29	0.1	0.02	0.06	0.53	28	28	28	28	28
37	0.29	0.06	0.53	0.1	0.02	16	16	16	16	16
38	0.29	0.06	0.53	0.02	0.1	16	16	16	16	16
39	0.29	0.06	0.1	0.53	0.02	21	21	21	21	21
40	0.29	0.06	0.1	0.02	0.53	28	28	28	28	28
41	0.29	0.06	0.02	0.53	0.1	21	21	21	21	21
42	0.29	0.06	0.02	0.1	0.53	28	28	28	28	28
43	0.29	0.02	0.53	0.1	0.06	16	16	16	16	16
44	0.29	0.02	0.53	0.06	0.1	16	16	16	16	16
45	0.29	0.02	0.1	0.53	0.06	21	21	21	21	21
46	0.29	0.02	0.1	0.06	0.53	28	28	28	28	28
47	0.29	0.02	0.06	0.53	0.1	21	21	21	21	21
48	0.29	0.02	0.06	0.1	0.53	28	28	28	28	28
49	0.1	0.53	0.29	0.06	0.02	10	10	10	10	10
