high1	low1	mean1	high2	low2	mean2	high3	low3	mean3	high4	low4	mean4	high5	low5	mean5	dist	prop	dm
0.45187578	0.01601276	0.14231317	0.02986375	2.1151043E-4	0.0039217705	0.024289362	4.8503387E-4	0.006359868	0.017869985	1.3709454E-4	0.001848863	0.0013180623	4.8220638E-5	3.3422885E-4	1.0	5.0	1.0
0.012894385	9.555837E-5	7.4107054E-4	0.39387578	0.0037648869	0.08318588	0.03011044	3.898074E-4	0.0047820727	0.018804885	2.2101415E-4	0.002633254	7.8009925E-4	3.257014E-5	2.2785384E-4	1.0	5.0	2.0
0.011363334	6.5012384E-5	4.110157E-4	0.015346222	4.683141E-5	0.0010504099	0.17031473	0.0035897964	0.047650576	0.013720421	8.737681E-5	0.0010488275	3.0153454E-4	1.3491557E-5	8.52513E-5	1.0	5.0	3.0
0.025760384	0.0011728784	0.0073472587	0.041142944	5.0386274E-4	0.008390296	0.06760729	0.0024010658	0.020299427	0.3280947	0.012461084	0.101724006	0.0021453216	1.3271264E-4	6.887939E-4	1.0	5.0	4.0
0.9806408	0.52505285	0.8491875	0.99493974	0.5864579	0.9034516	0.99005175	0.7358037	0.92090803	0.98708695	0.6453434	0.8927451	0.99972206	0.9961385	0.9986639	1.0	5.0	5.0
