high1	low1	mean1	dist	prop	dm
0.45187578	0.01601276	0.14231317	1.0	1.0	1.0
0.002894385	9.555837E-5	7.4107054E-4	1.0	1.0	2.0
0.0013633338	6.5012384E-5	4.110157E-4	1.0	1.0	3.0
0.025760384	0.0011728784	0.0073472587	1.0	1.0	4.0
0.9806408	0.52505285	0.8491875	1.0	1.0	5.0
